voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,capacity
52.782668508287294,1.2381199437395471,13.59126184199254,-3.3148603837958213,12.862280555555555,3032.0,0.0001280177230379714,2.4718293700195306,5.314285714285712,2.958724904620991,-1.4223836067297073,0.20241916931631124,0.3866333333333334,257.0,-0.005585155512694451,2.3046193848206715,30.948509134781112
53.00043829787234,0.44023616416123773,6.502302173288012,-0.7070768770548082,17.552838888888886,4107.0,3.696634406906891e-05,2.740743986368039,11.151882352941175,4.827517811614296,-0.17463937015463316,-1.0630380813672078,3.1633916666666666,739.0,0.0011094287078935467,3.2210285856269905,30.80819184443476
52.55136686390533,1.0737791120091724,7.194973052995202,-2.2816468219186867,15.720933333333333,3450.0,0.00012043316176998264,2.7184323443441727,5.879333333333333,2.736385612851782,-1.1530887835685177,-0.014813202231089114,1.036,497.0,-0.002761996278210698,2.5232109529528914,28.633188881080667
52.972812297734635,0.7273294884937532,42.35792372126112,-5.245942723606575,18.484877777777776,4254.0,5.689048711715376e-05,2.260004944793752,12.202264150943394,3.6186548326897396,1.9139755434866705,-1.6253040074390128,1.4717083333333334,368.0,-0.00012739170656255548,3.0359385855241685,28.57393472067386
53.50664824120602,0.4509655157173921,8.877495416443754,-1.0329202496123622,15.339677777777776,3491.0,3.8196401727334624e-05,2.709850391488648,12.544814814814814,5.84687552123082,-0.7581250925201517,-1.031127604624428,2.7459222222222217,620.0,0.0027445766952262506,2.585677751862924,29.57905656102189
53.51128402366864,0.6262828933683423,16.701425966903965,-3.257763051592289,15.691116666666664,3492.0,6.240680116142725e-05,2.452877788758195,16.612499999999997,0.43723563441238417,1.8528703012266075,-1.597775853605081,0.31078055555555556,67.0,0.000284119054615635,1.5500815330434858,29.68340003591679
53.31059259259259,0.8484100711531065,9.988715196510626,-2.522042040005411,20.324925,4563.0,7.052882574089612e-05,2.6722903535397906,15.996857142857143,1.653605189411602,20.26593448169901,-4.1001927057133685,0.26122500000000004,58.0,0.019790435287947727,1.9883350535540814,30.338187098815638
53.51797419354839,0.9756444946696456,31.00496809010204,-4.94258253162419,13.55865,3009.0,9.439703543535282e-05,2.214103461589532,14.022499999999999,4.7553419903990255,1.8090316592658642,-1.8447760591522557,0.5056,129.0,-0.003670811708783342,2.475064966103681,29.637796327736922
53.49410593220339,0.6280947999796044,8.264766306835945,-0.45799176541600933,19.707397222222223,4391.0,5.75376907897416e-05,2.5716226465935126,14.680540540540543,3.375851000575439,9.896085767766076,-3.1247076704545016,0.43888333333333335,105.0,0.0006399558118382498,2.4580407397862114,30.946430799950093
53.4634,0.5872464541355162,20.00878842658418,-2.9781987420095377,14.906613888888888,3338.0,5.5654336703274114e-05,2.29012979855961,14.434318181818181,3.9914979612318366,4.72856566339078,-2.380294481632091,0.4297972222222222,104.0,0.0005666156202143934,2.350367618933182,29.75974126742284
53.43935078534032,0.49665531305553823,4.006726425788603,-0.9567849897484745,17.964008333333332,3997.0,5.927615270421878e-05,2.660325581781699,12.991833333333334,5.402152500521333,0.253211984999286,-1.3348392223128092,2.5984861111111113,577.0,0.0034100080533400984,2.2339878584498916,29.539156834333806
53.40563070539419,0.9753323258147301,18.523450548936033,-2.8436659381158145,21.270725000000002,4748.0,7.993565619830102e-05,2.332672332688435,14.895555555555557,1.1876635429944058,-0.8812333625357818,0.16974729655661583,0.22428888888888893,55.0,0.004965841355517506,3.3096811598127194,30.255886033869135
53.77165957446809,0.7288225015189814,18.1721141120992,-2.103510051821935,12.274944444444444,2917.0,9.069832063169451e-05,2.417299284998668,14.271463414634146,4.659063321006629,2.06213525345237,-1.896776876932599,0.20700277777777776,52.0,0.0209664870613258,2.184958092823456,25.69255534973978
53.514763440860214,0.4593694540282952,3.221888751711038,-1.0851956509462237,13.086727777777778,3292.0,0.0001093826060371961,2.7822294562631824,11.455403225806453,4.753717797884629,-0.6743746011975396,-0.8770676558821052,2.9401333333333333,735.0,0.0013815026180733346,3.365734061645769,26.35045598362181
53.6007159090909,0.6894643910783811,7.899925669234046,-0.23238848755766287,14.55381666666667,3252.0,8.251995323124371e-05,2.5583682806299284,14.80653846153846,3.486959709797559,10.803763710248596,-3.3070535456438375,0.24016666666666667,58.0,-0.013028682937261024,2.261205433252088,28.940397215397198
53.527830000000016,0.5295905787492826,4.683956870811034,-1.7978083545662638,14.300791666666667,5348.0,0.00019334363340007039,2.1080271205749175,6.953521126760562,1.8812032399066696,3.38940111410934,-2.170213546654631,3.182058333333333,1471.0,1.3313428778078013e-05,1.974843273552053,25.46832254840067
53.6089796511628,0.9297491516807321,28.647399601891802,-4.153897284973853,12.377838888888888,3160.0,0.00011610841223032127,2.2567597877952688,12.91128205128205,4.279262564967737,1.9855420676914868,-1.75848333394117,0.20227222222222221,55.0,-0.010293497736986143,2.787633108924789,20.866921437113295
53.24256834532375,0.6147435337076687,0.8649280029036888,-0.59235535034133,13.672997222222222,3040.0,0.00010112641272628459,2.8471759786579436,11.292127659574463,6.49161519296163,-1.6266314793924406,-0.5041095428836754,3.075047222222223,705.0,-0.0031499116517493555,2.525485357178086,26.714372314303233
